Nombre,Superficie,Poblacion,Continente
Tanzania,947300,67438106,África
Tayikistán,143100,10143543,Asia
Timor Oriental,14874,1360596,Asia
Togo,56785,8848699,África
Tonga,747,107773,Oceanía
Trinidad y Tobago,5128,1534937,América
Túnez,163610,12458223,África
Turkmenistán,488100,6201943,Asia
Turquía,783562,85816199,Asia
Tuvalu,26,11396,Oceanía
Ucrania,603550,37860221,Europa
Uganda,241038,48582334,África
Uruguay,176215,3423108,América
Uzbekistán,447400,36412350,Asia
Vanuatu,12189,334506,Oceanía
Vaticano,0.44,825,Europa
Venezuela,912050,28838499,América
Vietnam,331210,98858950,Asia
Yemen,527968,34449825,Asia
Yibuti,23200,1136455,África
Zambia,752618,20017675,África
Zimbabue,390757,16320537,África
